year,crop,model,scenario,split,mae,rmse,mape,n_features
2022,Соняшник,lightgbm,lag_only,test,0.2184690933463722,0.2184690933463722,7.774700830831752,17
2023,Соняшник,lightgbm,lag_only,test,0.01687752895366268,0.01687752895366268,0.6567131888584701,17
2024,Соняшник,lightgbm,lag_only,test,0.21350375048614456,0.21350375048614456,8.67901424740425,17
2019,Соняшник,elasticnet,in_season,validation,0.15371739313433164,0.15371739313433164,5.0731812915621,23
2020,Соняшник,elasticnet,in_season,validation,0.24351151252031844,0.24351151252031844,9.58706742205978,24
2021,Соняшник,elasticnet,in_season,validation,0.23095625352445914,0.23095625352445914,8.986624650757166,25
2022,Соняшник,elasticnet,in_season,test,0.15134052969874645,0.15134052969874645,5.385783975044357,25
2023,Соняшник,elasticnet,in_season,test,0.002017036169827957,0.002017036169827957,0.07848389765867538,25
2024,Соняшник,elasticnet,in_season,test,0.11807397394165786,0.11807397394165786,4.799755038278775,25
2019,Соняшник,xgboost,in_season,validation,0.35930350303649927,0.35930350303649927,11.858201420346509,23
2020,Соняшник,xgboost,in_season,validation,0.10369559288024899,0.10369559288024899,4.082503656702716,24
2021,Соняшник,xgboost,in_season,validation,0.1184369850158693,0.1184369850158693,4.608442996726432,25
2022,Соняшник,xgboost,in_season,test,0.18826466560363775,0.18826466560363775,6.6998101638305245,25
2023,Соняшник,xgboost,in_season,test,0.10753338813781754,0.10753338813781754,4.184178526763329,25
2024,Соняшник,xgboost,in_season,test,0.13573340415954593,0.13573340415954593,5.517618055266095,25
2019,Соняшник,lightgbm,in_season,validation,0.5895236950933818,0.5895236950933818,19.45622756083768,23
2020,Соняшник,lightgbm,in_season,validation,0.11339980969867502,0.11339980969867502,4.464559436955709,24
2021,Соняшник,lightgbm,in_season,validation,0.16592575014515498,0.16592575014515498,6.456254869461284,25
2022,Соняшник,lightgbm,in_season,test,0.24315716614394356,0.24315716614394356,8.653279933948168,25
2023,Соняшник,lightgbm,in_season,test,0.17362462139708423,0.17362462139708423,6.755821844244523,25
2024,Соняшник,lightgbm,in_season,test,0.2762040395693792,0.2762040395693792,11.22780648656013,25
